S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,LGBM Price,LGBM StdErr,LGBM Bias,LR Price,LR StdErr,LR Bias
80,0.20,1,20.28,0.06,20.41,0.06,0.13,20.66,0.07,0.38,20.35,0.06,0.06
80,0.20,2,21.15,0.08,21.22,0.09,0.07,21.75,0.09,0.60,21.24,0.09,0.08
80,0.40,1,25.25,0.12,25.34,0.15,0.10,25.82,0.14,0.57,24.92,0.14,-0.33
80,0.40,2,29.27,0.15,29.39,0.17,0.12,29.90,0.17,0.64,29.13,0.17,-0.13
85,0.20,1,16.07,0.07,16.16,0.08,0.09,16.60,0.08,0.52,15.93,0.08,-0.15
85,0.20,2,17.60,0.08,17.64,0.09,0.03,18.01,0.09,0.41,17.53,0.10,-0.07
85,0.40,1,22.19,0.12,22.25,0.14,0.06,22.71,0.14,0.51,22.26,0.14,0.07
85,0.40,2,26.51,0.14,26.96,0.17,0.45,27.25,0.16,0.75,26.74,0.17,0.24
90,0.20,1,12.64,0.07,12.55,0.08,-0.08,13.03,0.08,0.40,12.51,0.08,-0.13
90,0.20,2,14.43,0.08,14.46,0.09,0.03,14.95,0.10,0.52,14.33,0.09,-0.10
90,0.40,1,19.41,0.12,19.79,0.14,0.38,19.87,0.14,0.46,19.45,0.14,0.04
90,0.40,2,24.28,0.15,24.41,0.17,0.13,24.95,0.17,0.67,24.66,0.17,0.38
95,0.20,1,9.52,0.07,9.50,0.07,-0.02,9.88,0.08,0.35,9.47,0.08,-0.05
95,0.20,2,11.76,0.08,11.85,0.10,0.09,12.29,0.09,0.53,11.82,0.09,0.06
95,0.40,1,17.14,0.12,17.16,0.14,0.01,17.70,0.14,0.56,16.88,0.13,-0.26
95,0.40,2,22.00,0.14,22.25,0.16,0.25,22.96,0.17,0.96,22.44,0.17,0.44
100,0.20,1,7.10,0.06,6.99,0.07,-0.11,7.52,0.07,0.42,7.11,0.07,0.01
100,0.20,2,9.56,0.08,9.61,0.09,0.05,9.90,0.09,0.34,9.58,0.09,0.02
100,0.40,1,14.73,0.11,14.76,0.13,0.03,15.50,0.13,0.77,14.76,0.13,0.03
100,0.40,2,20.28,0.14,20.23,0.17,-0.05,20.97,0.16,0.69,20.41,0.16,0.13
105,0.20,1,5.14,0.05,5.24,0.06,0.10,5.40,0.06,0.26,5.11,0.06,-0.03
105,0.20,2,7.65,0.07,7.64,0.08,-0.01,8.03,0.08,0.38,7.63,0.08,-0.02
105,0.40,1,13.07,0.11,12.91,0.12,-0.15,13.30,0.13,0.23,12.70,0.12,-0.36
105,0.40,2,18.55,0.14,18.77,0.16,0.22,19.20,0.16,0.65,18.44,0.16,-0.10
110,0.20,1,3.72,0.05,3.73,0.05,0.01,3.94,0.06,0.22,3.74,0.05,0.01
110,0.20,2,6.05,0.06,6.08,0.08,0.03,6.39,0.08,0.33,5.98,0.07,-0.08
110,0.40,1,11.12,0.10,11.40,0.12,0.28,11.49,0.12,0.38,11.22,0.12,0.10
110,0.40,2,16.78,0.13,16.99,0.15,0.22,17.73,0.16,0.96,16.80,0.15,0.02
115,0.20,1,2.58,0.04,2.59,0.04,0.01,2.77,0.05,0.18,2.64,0.05,0.05
115,0.20,2,4.82,0.06,4.81,0.07,-0.01,5.31,0.07,0.49,4.71,0.07,-0.10
115,0.40,1,9.82,0.10,9.56,0.11,-0.25,9.92,0.12,0.10,9.74,0.11,-0.08
115,0.40,2,15.25,0.13,15.30,0.15,0.04,15.92,0.15,0.67,15.81,0.15,0.55
120,0.20,1,1.77,0.03,1.82,0.04,0.05,1.96,0.04,0.19,1.84,0.04,0.07
120,0.20,2,3.84,0.05,3.75,0.06,-0.08,4.19,0.07,0.35,3.76,0.06,-0.08
120,0.40,1,8.42,0.09,8.60,0.11,0.17,9.02,0.11,0.59,8.59,0.11,0.16
120,0.40,2,14.05,0.13,13.93,0.15,-0.12,14.93,0.15,0.88,14.21,0.15,0.16
